AUTHORS,PAPER TITLE,CONFERENCE NAME,ORGANIZED BY,ISBN / ISSN NO,MONTH & YEAR
M. Saravanan,Investigation and analysis of drillability and millablity of copper (cu) with reduced graphene oxide by stir casting process for aerospace applications,National Conference on Advancements in Mechanical Sciences (AIMS-2K24),"Department of Mechanical Engineering, Velammal Engineering College-Chennai-64",ISBN : 978-93-340-1620-8,"Feb 2024
"
M. Saravanan,Experimental study to optimize the machining parameter of lightweight Mg/Wc for bio-medical application,National Conference on Advances in Mechanical Science (AIMS 2k23),"Department of Mechanical Engineering, Velammal Engineering College-Chennai-65",ISBN : 978-93-340-1620-8,2023-04-12 00:00:00
M. Saravanan,Investigation of mechanical properties of nano carbon fiber reinforced forged structural steel (ASTM A572),National Conference on Advances in Mechanical Science (AIMS 2k23),"Department of Mechanical Engineering, Velammal Engineering College-Chennai-66",ISBN : 978-93-340-1620-8,2023-04-12 00:00:00
M. Saravanan,Investigating the Properties of Bio-Plastics Extracted from a Corn-Starch,"International Conference on Automation, Robotics, Artificial Intelligence, Mechatronics and Materials - ARAM - 2023",Sri Sivasubramaniya Nadar College of Engineering (SSN),-,2023-03-23 00:00:00
M. Saravanan,Influence of Graphene Oxide Nano Particle and Aluminum Powder on Mechanical and Thermal Behaviour of Carbon Fibre Epoxy Composite,International Conference On Processing And Characterization Of Materials ICPCM – 22,SSN College Of Engineering,-,2022-03-08 00:00:00
M. Saravanan,Investigation on the Machinability of Tin Nano particulate Reinforced Magnesium Matrix Composite,International Conference On Processing And Characterization Of Materials ICPCM – 22,SSN College Of Engineering,-,2022-03-08 00:00:00
M. Saravanan,Effect of Fiber Orientation On Mechanical Behavior of Glass Fiber Reinforced Polyethylene Terephthalate Foam Sandwich Composite,"Second International Conference On
Engineering Materials, Metallurgy And Manufacturing (ICEMMM 2021)",SSN College Of Engineering,-,2021-12-16 00:00:00
M. Saravanan,Multiple Regression Analysis On Drilling Performance of Al 2219 _ SiCp Metal Matrix Composite Using Response Surface,"Second International Conference On
Engineering Materials, Metallurgy And Manufacturing (ICEMMM 2021)",SSN College Of Engineering,-,2021-12-16 00:00:00
M. Saravanan,Study On Mechanical Behavior Of Nanoparticulate Reinforced Magnesium Matrix Composites,ERAMS 2019,"Velammal Engineering College, Chennai",ISBN : 978-93-340-1620-8,2019-03-20 00:00:00
M. Saravanan,Automatic Safety Valve for Leakage Detection and Arresting the Flammable Gases Using IOT,National Conference on Advances in Mechanical Engineering (AME-2017),"Sriram Engineering College, Chennai",ISBN : 978-93-340-1620-8,2017-03-01 00:00:00
M. Saravanan,Automatic Safety Valve For Flammable Gases,International Conference on Emerging Trends in Engineering Research (ICETER'16),"Vels University, Chennai",-,2016-02-01 00:00:00
M. Saravanan,A Micromechanical Model for Predicting Thermal Properties of Knitted Fabrics Used in Heating Elements,Proceedings of National Conference on Recent Trends in Manufacturing Technology -RTMT 2013,"Department of Manufacturing Engineering, College of Engineering Guindy, Anna university, Chennai – 600 025",-,2013-03-01 00:00:00
